camera,slant,center,exclamationbar,exclamationdot
0,0,0,0,315
0,0,0,0,630
0,0,0,0,945
0,0,0,0,1260
0,0,0,0,1575
0,0,0,0,1890
0,0,0,315,2205
0,0,0,630,2520
0,0,0,945,2835
0,0,0,1260,3150
0,0,0,1575,3465
0,0,0,1890,3780
0,0,315,2205,4095
0,0,630,2520,4095
0,0,945,2835,4095
0,0,1260,3150,4095
0,0,1575,3465,4095
0,0,1890,3780,3780
315,315,2205,4095,3465
630,630,2520,4095,3150
945,945,2835,4095,2835
1260,1260,3150,4095,2520
1575,1575,3465,4095,2205
1890,1890,3780,3780,1890
2205,2205,4095,3465,1575
2520,2520,4095,3150,1260
2835,2835,4095,2835,945
3150,3150,4095,2520,630
3465,3465,4095,2205,315
3780,3780,3780,1890,0
4095,4095,3465,1575,0
4095,4095,3150,1260,0
4095,4095,2835,945,0
4095,4095,2520,630,0
4095,4095,2205,315,0
3780,3780,1890,0,0
3465,3465,1575,0,0
3150,3150,1260,0,0
2835,2835,945,0,0
2520,2520,630,0,0
2205,2205,315,0,0
1890,1890,0,0,0
1575,1575,0,0,0
1260,1260,0,0,0
945,945,0,0,0
630,630,0,0,0
315,315,0,0,0
0,0,0,0,0
